8/27/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'   '808' 'pipe line'  '206' 'h/t' '12/2013.'  '810' 'pipe line'  '807' 'pump'   '818' 'pipe line'  '1412' 'pump'      '803' 'pump' '03/2013.'     '404' 'h/t casing leak'      '1306 LEAK UNDER PUMPING T '       '208' 'h/t'      '708' 'h/t'      '202 ' 'frac'      '1004' 'H/T'      '1010' 'pump/prt.'      '910' 'frac'      ' 107' 'stuffing box'      '1005' 'pump'      '707 ' 'H/T'      ' 'LM 35' 'h/t'      'LM  ' 'pump trashed up'      'CRU 707' 'h/t'                                                                                         
8/28/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'   '808' 'pipe line'  '206' 'h/t' '12/2013.'  '810' 'pipe line'  '807' 'pump'   '818' 'pipe line'  '1412' 'pump'      '803' 'pump' '03/2013.'     '404' 'h/t casing leak'      '1306 LEAK UNDER PUMPING T '       '208' 'h/t'      '708' 'h/t'      '202 ' 'frac'      '1004' 'H/T'      '1010' 'pump/prt.'      '910' 'frac'      ' 107' 'stuffing box'      '1005' 'pump'      '707 ' 'H/T'      ' 'LM 35' 'h/t'      'LM  ' 'pump trashed up'      'CRU 707' 'h/t'                                                                                         
8/29/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'   '808' 'pipe line'  '206' 'h/t' '12/2013.'  '810' 'pipe line'  '807' 'pump'   '818' 'pipe line'  '1412' 'pump'      '803' 'pump' '03/2013.'     '404' 'h/t casing leak'      '1306 LEAK UNDER PUMPING T '       '208' 'h/t'      '708' 'h/t'      '202 ' 'frac'      '1004' 'H/T'      '1010' 'pump/prt.'      '910' 'frac'      ' 107' 'stuffing box'      '1005' 'pump'      '707 ' 'H/T'      ' 'LM 35' 'h/t'      'LM  ' 'pump trashed up'      'CRU 707' 'h/t'                                                                                         
8/30/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'   '808' 'pipe line'  '206' 'h/t' '12/2013.'  '810' 'pipe line'  '807' 'pump'   '818' 'pipe line'  '1412' 'pump'      '803' 'pump' '03/2013.'     '404' 'h/t casing leak'      '1306 LEAK UNDER PUMPING T '       '208' 'h/t'      '708' 'h/t'      '202 ' 'frac'      '1004' 'H/T'      '1010' 'pump/prt.'      '910' 'frac'      ' 107' 'stuffing box'      '1005' 'pump'      '707 ' 'H/T'      ' 'LM 35' 'h/t'      'LM  ' 'pump trashed up'   'boykin   down on reset'   'CRU 707' 'h/t'   'lm  down on reset   both wells back on'                                                                                      
8/31/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'   '808' 'pipe line'  '206' 'h/t' '12/2013.'  '810' 'pipe line'  '807' 'pump'   '818' 'pipe line'  '1412' 'pump'      '803' 'pump' '03/2013.'     '404' 'h/t casing leak'      '1306 LEAK UNDER PUMPING T '       '208' 'h/t'      '708' 'h/t'      '202 ' 'frac'      '1004' 'H/T'      '1010' 'pump/prt.'      '910' 'frac'      ' 107' 'stuffing box'      '1005' 'pump'      '707 ' 'H/T'      ' 'LM 35' 'h/t'      'LM  ' 'pump trashed up'   'boykin   down on reset'   'CRU 707' 'h/t'   'lm  down on reset   both wells back on'                                                                                      
9/1/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'   '808' 'pipe line'  '206' 'h/t' '12/2013.'  '810' 'pipe line'  '807' 'pump'   '818' 'pipe line'  '1412' 'pump'      '803' 'pump' '03/2013.'     '404' 'h/t casing leak'      '1306 LEAK UNDER PUMPING T '       '208' 'h/t'      '708' 'h/t'      '202 ' 'frac'      '1004' 'H/T'      '1010' 'pump/prt.'      '910' 'frac'      ' 107' 'stuffing box'      '1005' 'pump'      '707 ' 'H/T'      ' 'LM 35' 'h/t'      'LM  ' 'pump trashed up'   'boykin   down on reset'   'CRU 707' 'h/t'   'lm  down on reset   both wells back on'                                                                                      
9/2/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'   '1010' 'pump'  '807' 'pump'   '107' 'stuffing box' '8/182014' '1412' 'pump'   '1005' 'pump' '.' '803' 'pump'   '707' 'H/T'  '404' 'h/t casing leak'      '605' 'h/t'   '808' 'P/L'  '208' 'h/t'   '810' 'P/L'  '708' 'h/t'   '818' 'P/L'  '1104' 'h/t'      '1404' 'h/t'      '703' 'pump'      '910' 'frac'   'total off'  '803' 'frac'      '1004' 'H/T'      '1306' 'leak pump T'      ' 'LM 35' 'h/t'      'LM 18' 'pump'      '202' 'frac'                                                                                         
9/3/2014,
9/4/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'   '1010' 'pump'  '807' 'pump'   '107' 'stuffing box' '8/182014' '1412' 'pump'   '1005' 'pump' '.' '803' 'pump'   '707' 'H/T'  '404' 'h/t casing leak'      '605' 'h/t'   '808' 'P/L'  '208' 'h/t'   '810' 'P/L'  '708' 'h/t'   '818' 'P/L'  '1104' 'h/t'      '1404' 'h/t'      '703' 'pump'      '910' 'frac'   'total off'  '803' 'frac'      '1004' 'H/T'      '1306' 'leak pump T'      ' 'LM 35' 'h/t'             '202' 'frac'                                                                                         
9/5/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'   '1010' 'pump'  '807' 'pump'   '107' 'stuffing box' '8/182014' '1412' 'pump'   '1005' 'pump' '.' '803' 'pump'   '707' 'H/T'  '404' 'h/t casing leak'      '605' 'h/t'   '808' 'P/L'  '208' 'h/t'   '810' 'P/L'  '708' 'h/t'   '818' 'P/L'  '1104' 'h/t'      '1404' 'h/t'      '703' 'pump'      '910' 'frac'   'total off'  '803' 'frac'      '1004' 'H/T'      '1306' 'leak pump T'      ' 'LM 35' 'h/t'      'lm  ' 'pumped watet out of gun barrel and out of tank replaced water leg'      '202' 'frac'                                                                                         
